[bench] ============================================================
[bench] BiBo Benchmark — BIBO
[bench] ============================================================
[bench]   Device: cuda:0 (world_size=1)
[bench]   Batch: 16 x 1 accum
[bench]   Steps: 3000
[bench]   Optimizer: muon_adamw
[bench]   Scheduler: whd (WSD: 5% warmup → 60% hold → 35% cosine decay to 0)
[bench]   Precision: AMP bfloat16 (fp32 master weights)
[bench]   Muon NS coeffs: Polar-Express
[bench]   Deterministic: ON (seed=42, strict=False) — identical config => identical curve
[bench] ============================================================
[bench] Loading dataset...
[bench] Tokenizer vocab: 81920, safe: 81920
[bench] Building bibo model...
[bench] Params: 137.95M total, 71.89M active
[bench] MoE layers: 8, Dense: 2
[bench] Starting training from step 0...
[bench] 1148889 train, 60467 val samples
  step    890/3000 ( 29.7%) | loss=5.1853 | lr=3.00e-04 | tok=14.58M | tps=115685 | mfu=76.8%/gpu | mem=9.3G | 0.139s | grad=1.2042 | ETA=4.9m
  step    900/3000 ( 30.0%) | loss=4.9282 | lr=3.00e-04 | tok=14.75M | tps=116550 | mfu=77.3%/gpu | mem=9.3G | 0.141s | grad=1.0113 | ETA=4.9m
  step    910/3000 ( 30.3%) | loss=5.3522 | lr=3.00e-04 | tok=14.91M | tps=116032 | mfu=77.0%/gpu | mem=9.4G | 0.140s | grad=1.0908 | ETA=4.9m
  step    920/3000 ( 30.7%) | loss=4.9039 | lr=3.00e-04 | tok=15.07M | tps=115702 | mfu=76.8%/gpu | mem=9.4G | 0.146s | grad=1.1954 | ETA=5.0m
  step    930/3000 ( 31.0%) | loss=5.1219 | lr=3.00e-04 | tok=15.24M | tps=115260 | mfu=76.5%/gpu | mem=9.4G | 0.140s | grad=1.1426 | ETA=4.8m
  step    940/3000 ( 31.3%) | loss=5.0167 | lr=3.00e-04 | tok=15.40M | tps=115884 | mfu=76.9%/gpu | mem=9.3G | 0.140s | grad=1.0714 | ETA=4.8m
  step    950/3000 ( 31.7%) | loss=5.0683 | lr=3.00e-04 | tok=15.56M | tps=115927 | mfu=76.9%/gpu | mem=9.3G | 0.140s | grad=1.1900 | ETA=4.8m
  step    960/3000 ( 32.0%) | loss=4.6362 | lr=3.00e-04 | tok=15.73M | tps=115679 | mfu=76.8%/gpu | mem=9.3G | 0.142s | grad=1.2359 | ETA=4.8m
  step    970/3000 ( 32.3%) | loss=4.7286 | lr=3.00e-04 | tok=15.89M | tps=116161 | mfu=77.1%/gpu | mem=9.4G | 0.141s | grad=1.2182 | ETA=4.8m
  step    980/3000 ( 32.7%) | loss=4.9878 | lr=3.00e-04 | tok=16.06M | tps=116110 | mfu=77.0%/gpu | mem=9.4G | 0.140s | grad=1.0931 | ETA=4.7m
  step    990/3000 ( 33.0%) | loss=4.8844 | lr=3.00e-04 | tok=16.22M | tps=115814 | mfu=76.8%/gpu | mem=9.4G | 0.141s | grad=1.2740 | ETA=4.7m
  step   1000/3000 ( 33.3%) | loss=5.2815 | lr=3.00e-04 | tok=16.38M | tps=116766 | mfu=77.5%/gpu | mem=9.3G | 0.140s | grad=1.2652 | ETA=4.7m
    [VAL] loss=4.9066 ppl=135.17 bpb=1.1253
  step   1010/3000 ( 33.7%) | loss=4.6854 | lr=3.00e-04 | tok=16.55M | tps=114644 | mfu=76.1%/gpu | mem=9.3G | 0.145s | grad=1.1506 | ETA=4.8m
  step   1020/3000 ( 34.0%) | loss=4.8074 | lr=3.00e-04 | tok=16.71M | tps=115855 | mfu=76.9%/gpu | mem=9.4G | 0.141s | grad=1.1668 | ETA=4.7m
  step   1030/3000 ( 34.3%) | loss=4.9253 | lr=3.00e-04 | tok=16.88M | tps=116063 | mfu=77.0%/gpu | mem=9.3G | 0.140s | grad=1.2155 | ETA=4.6m
  step   1040/3000 ( 34.7%) | loss=4.6376 | lr=3.00e-04 | tok=17.04M | tps=114679 | mfu=76.1%/gpu | mem=9.3G | 0.141s | grad=1.1924 | ETA=4.6m
  step   1050/3000 ( 35.0%) | loss=4.5476 | lr=3.00e-04 | tok=17.20M | tps=115647 | mfu=76.7%/gpu | mem=9.3G | 0.141s | grad=1.1666 | ETA=4.6m
  step   1060/3000 ( 35.3%) | loss=4.7922 | lr=3.00e-04 | tok=17.37M | tps=115185 | mfu=76.4%/gpu | mem=9.4G | 0.142s | grad=1.2066 | ETA=4.6m
  step   1070/3000 ( 35.7%) | loss=4.9829 | lr=3.00e-04 | tok=17.53M | tps=115934 | mfu=76.9%/gpu | mem=9.3G | 0.141s | grad=1.3005 | ETA=4.5m
  step   1080/3000 ( 36.0%) | loss=4.8164 | lr=3.00e-04 | tok=17.69M | tps=115690 | mfu=76.8%/gpu | mem=9.3G | 0.140s | grad=1.1518 | ETA=4.5m
  step   1090/3000 ( 36.3%) | loss=4.9054 | lr=3.00e-04 | tok=17.86M | tps=115454 | mfu=76.6%/gpu | mem=9.3G | 0.140s | grad=1.2741 | ETA=4.5m
  step   1100/3000 ( 36.7%) | loss=4.9808 | lr=3.00e-04 | tok=18.02M | tps=116565 | mfu=77.3%/gpu | mem=9.3G | 0.141s | grad=1.3207 | ETA=4.5m
  step   1110/3000 ( 37.0%) | loss=4.9266 | lr=3.00e-04 | tok=18.19M | tps=112875 | mfu=74.9%/gpu | mem=9.3G | 0.142s | grad=1.1107 | ETA=4.5m
  step   1120/3000 ( 37.3%) | loss=4.8672 | lr=3.00e-04 | tok=18.35M | tps=115925 | mfu=76.9%/gpu | mem=9.4G | 0.141s | grad=1.1339 | ETA=4.4m
  step   1130/3000 ( 37.7%) | loss=5.1172 | lr=3.00e-04 | tok=18.51M | tps=115414 | mfu=76.6%/gpu | mem=9.3G | 0.145s | grad=1.2135 | ETA=4.5m
  step   1140/3000 ( 38.0%) | loss=4.7002 | lr=3.00e-04 | tok=18.68M | tps=114500 | mfu=76.0%/gpu | mem=9.4G | 0.140s | grad=1.1342 | ETA=4.3m
  step   1150/3000 ( 38.3%) | loss=4.9112 | lr=3.00e-04 | tok=18.84M | tps=115568 | mfu=76.7%/gpu | mem=9.3G | 0.141s | grad=1.6230 | ETA=4.3m
  step   1160/3000 ( 38.7%) | loss=4.7894 | lr=3.00e-04 | tok=19.01M | tps=115958 | mfu=76.9%/gpu | mem=9.4G | 0.144s | grad=1.2416 | ETA=4.4m
  step   1170/3000 ( 39.0%) | loss=4.5737 | lr=3.00e-04 | tok=19.17M | tps=115865 | mfu=76.9%/gpu | mem=9.4G | 0.143s | grad=1.1391 | ETA=4.4m
  step   1180/3000 ( 39.3%) | loss=5.0079 | lr=3.00e-04 | tok=19.33M | tps=115957 | mfu=76.9%/gpu | mem=9.4G | 0.139s | grad=1.3789 | ETA=4.2m
  step   1190/3000 ( 39.7%) | loss=4.5746 | lr=3.00e-04 | tok=19.50M | tps=116220 | mfu=77.1%/gpu | mem=9.3G | 0.140s | grad=1.2251 | ETA=4.2m
  step   1200/3000 ( 40.0%) | loss=5.0945 | lr=3.00e-04 | tok=19.66M | tps=115857 | mfu=76.9%/gpu | mem=9.3G | 0.143s | grad=1.0622 | ETA=4.3m
  step   1210/3000 ( 40.3%) | loss=4.6416 | lr=3.00e-04 | tok=19.82M | tps=114881 | mfu=76.2%/gpu | mem=9.3G | 0.141s | grad=1.4597 | ETA=4.2m
  step   1220/3000 ( 40.7%) | loss=4.4494 | lr=3.00e-04 | tok=19.99M | tps=116021 | mfu=77.0%/gpu | mem=9.3G | 0.143s | grad=1.4050 | ETA=4.2m
  step   1230/3000 ( 41.0%) | loss=4.4906 | lr=3.00e-04 | tok=20.15M | tps=115493 | mfu=76.6%/gpu | mem=9.3G | 0.146s | grad=1.0911 | ETA=4.3m
  step   1240/3000 ( 41.3%) | loss=4.7665 | lr=3.00e-04 | tok=20.32M | tps=115973 | mfu=77.0%/gpu | mem=9.3G | 0.144s | grad=1.2418 | ETA=4.2m
  step   1250/3000 ( 41.7%) | loss=4.7184 | lr=3.00e-04 | tok=20.48M | tps=116264 | mfu=77.1%/gpu | mem=9.3G | 0.140s | grad=1.2565 | ETA=4.1m
    [VAL] loss=4.7101 ppl=111.06 bpb=1.0803
  step   1260/3000 ( 42.0%) | loss=4.6750 | lr=3.00e-04 | tok=20.64M | tps=114145 | mfu=75.7%/gpu | mem=9.4G | 0.142s | grad=1.1841 | ETA=4.1m
