[bench] ============================================================
[bench] BiBo Benchmark — BIBO
[bench] ============================================================
[bench]   Device: cuda:0 (world_size=1)
[bench]   Batch: 16 x 1 accum
[bench]   Steps: 3000
[bench]   Optimizer: muon_adamw
[bench]   Scheduler: whd (WSD: 5% warmup → 60% hold → 35% cosine decay to 0)
[bench]   Precision: AMP bfloat16 (fp32 master weights)
[bench]   Muon NS coeffs: Polar-Express
[bench]   Deterministic: ON (seed=42, strict=False) — identical config => identical curve
[bench] ============================================================
[bench] Loading dataset...
[bench] Tokenizer vocab: 81920, safe: 81920
[bench] Building bibo model...
[bench] Params: 137.95M total, 71.89M active
[bench] MoE layers: 8, Dense: 2
[bench] Starting training from step 0...
[bench] 1148889 train, 60467 val samples
  step    810/3000 ( 27.0%) | loss=4.8909 | lr=3.00e-04 | tok=13.27M | tps=115934 | mfu=76.9%/gpu | mem=9.3G | 0.140s | grad=1.1426 | ETA=5.1m
  step    820/3000 ( 27.3%) | loss=5.3140 | lr=3.00e-04 | tok=13.43M | tps=115871 | mfu=76.9%/gpu | mem=9.4G | 0.140s | grad=1.2120 | ETA=5.1m
  step    830/3000 ( 27.7%) | loss=5.2350 | lr=3.00e-04 | tok=13.60M | tps=115302 | mfu=76.5%/gpu | mem=9.3G | 0.143s | grad=1.2033 | ETA=5.2m
  step    840/3000 ( 28.0%) | loss=4.9836 | lr=3.00e-04 | tok=13.76M | tps=116349 | mfu=77.2%/gpu | mem=9.3G | 0.141s | grad=1.1056 | ETA=5.1m
  step    850/3000 ( 28.3%) | loss=4.9321 | lr=3.00e-04 | tok=13.93M | tps=116254 | mfu=77.1%/gpu | mem=9.4G | 0.142s | grad=1.2067 | ETA=5.1m
  step    860/3000 ( 28.7%) | loss=5.1425 | lr=3.00e-04 | tok=14.09M | tps=116897 | mfu=77.6%/gpu | mem=9.3G | 0.141s | grad=1.1808 | ETA=5.0m
  step    870/3000 ( 29.0%) | loss=4.9721 | lr=3.00e-04 | tok=14.25M | tps=115641 | mfu=76.7%/gpu | mem=9.3G | 0.144s | grad=1.0976 | ETA=5.1m
  step    880/3000 ( 29.3%) | loss=5.0954 | lr=3.00e-04 | tok=14.42M | tps=114954 | mfu=76.3%/gpu | mem=9.3G | 0.141s | grad=2.9215 | ETA=5.0m
  step    890/3000 ( 29.7%) | loss=5.1930 | lr=3.00e-04 | tok=14.58M | tps=116124 | mfu=77.1%/gpu | mem=9.3G | 0.140s | grad=1.1908 | ETA=4.9m
  step    900/3000 ( 30.0%) | loss=4.9487 | lr=3.00e-04 | tok=14.75M | tps=116899 | mfu=77.6%/gpu | mem=9.3G | 0.140s | grad=1.0467 | ETA=4.9m
